time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.73,9.49,16.29,40.44,73.85,11.89,113.23,69.01,63.82,118.94,70.54,76.46,110.41,79.37,66.77
0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42,9.66,15.82,40.6,72.67,12.81,112.99,69.11,61.07,119.37,70.29,74.54,111.82,78.3,67.03
0.1096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.85,9.47,15.39,39.26,73.32,13.74,112.68,69.33,59.29,119.55,69.96,72.55,111.31,78.35,65.71
0.1457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.44,9.28,14.92,40.03,72.7,13.6,113.69,68.37,60.72,119.4,69.89,74.28,111.41,78.22,66.43
0.1837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51,8.85,15.72,40.72,72.6,14.16,113.57,68.71,60.16,119.38,70.25,73.48,111.58,78.35,65.98
0.2234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.73,8.76,15.64,40.81,72.08,14.17,113.18,69.24,61.99,118.8,70.82,74.54,111.1,78.77,67.13
0.2622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.65,8.95,14.73,41.82,70.86,13.42,112.32,70.11,59.03,118.16,71.53,71.94,110.44,79.71,66.56
0.2984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.49,8.59,14.8,39.81,73.11,14.23,113.01,69.32,59.41,119.19,70.44,74.42,111.0,79.13,67.46
0.3363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77,8.83,13.96,40.9,72.64,14.25,114.0,68.65,62.32,120.14,69.71,75.99,112.79,77.37,67.82
0.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.11,8.7,15.68,40.38,73.98,13.74,113.42,69.05,57.78,119.74,70.37,71.18,112.7,77.77,65.61
