time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0312,26.91,27.49,69.93,9.32,1.05,2.93,44.04,130.75,20.03,59.2,126.11,30.77,70.63,118.57,34.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0654,30.33,25.9,74.98,9.44,1.63,2.56,43.8,132.22,19.98,62.54,123.22,30.95,73.58,116.07,36.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0989,31.15,28.08,65.29,9.75,1.59,2.28,43.6,132.57,20.4,59.66,126.41,30.0,70.87,118.51,34.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1327,29.47,28.34,74.02,9.07,2.2,2.73,45.01,130.26,21.64,63.13,122.5,33.39,75.26,113.9,36.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1666,29.63,26.07,69.73,9.22,1.76,2.98,44.23,131.22,19.86,62.4,123.42,31.34,72.94,116.88,35.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2005,29.88,27.63,83.45,9.83,0.89,3.35,44.33,130.01,21.26,60.53,124.02,32.47,70.99,116.98,37.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2341,30.0,24.7,73.85,9.26,1.73,2.48,44.8,132.05,19.17,60.65,126.11,29.19,66.72,124.29,34.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2774,28.16,26.49,67.89,9.95,0.98,3.12,42.25,131.83,20.24,59.12,125.71,31.45,71.88,116.91,37.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3125,26.87,24.83,70.11,9.23,2.6,2.21,45.63,131.84,20.18,62.81,124.5,29.92,69.78,121.33,34.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3475,25.93,26.15,79.68,9.71,0.87,3.28,42.99,131.49,20.23,57.08,128.02,31.18,67.0,122.16,33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3831,30.5,25.73,74.13,9.0,1.73,2.14,46.05,130.77,18.41,62.05,124.66,28.07,70.58,120.66,34.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4171,28.13,26.33,73.05,9.36,1.25,3.28,42.1,131.77,19.24,57.87,126.86,30.06,67.48,121.72,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4528,30.12,28.19,80.87,9.42,1.93,2.44,47.41,130.08,20.52,63.09,124.01,31.8,70.11,121.21,37.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4869,27.75,25.88,75.39,10.02,1.12,3.13,42.64,132.03,20.58,58.54,126.64,32.46,68.79,120.23,37.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5229,26.27,28.53,74.92,8.99,2.18,1.98,44.27,132.7,18.44,59.87,126.88,27.44,67.08,124.1,32.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5575,26.19,26.85,71.72,9.99,1.35,3.05,41.67,133.45,21.52,57.44,128.02,33.45,70.91,117.97,37.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5931,26.3,24.48,75.21,9.28,2.58,2.09,43.93,133.62,19.93,60.77,126.51,29.77,66.99,124.19,32.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6262,26.95,27.49,81.07,9.47,1.3,3.07,42.28,131.84,19.94,58.41,125.93,31.11,69.64,118.35,33.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6759,27.79,21.14,57.37,9.79,2.41,2.35,46.2,131.15,20.26,62.93,124.24,31.3,69.76,121.01,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7131,27.18,26.12,74.53,9.79,1.31,3.41,42.39,132.45,21.81,58.39,126.79,33.85,69.12,119.51,35.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7474,27.1,23.26,68.56,9.42,2.62,2.31,44.46,132.9,20.3,61.47,125.82,30.56,68.38,122.77,34.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7815,27.08,26.76,69.36,9.68,1.14,2.73,41.33,132.86,19.66,55.95,128.97,29.74,68.11,120.48,33.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8161,27.59,25.09,72.93,9.34,2.48,1.76,45.18,132.55,20.44,62.19,125.02,30.77,68.77,122.04,34.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8527,27.52,29.08,73.62,9.52,1.14,2.91,42.54,131.12,20.21,57.85,126.21,30.37,70.07,117.43,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8884,29.1,23.96,63.36,9.78,2.53,2.45,44.86,132.72,20.92,61.41,125.75,31.23,70.07,120.1,35.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9221,27.54,29.56,65.2,9.51,1.12,2.73,43.39,131.29,20.9,60.09,125.04,32.36,72.29,116.13,35.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9597,29.7,27.54,74.7,9.27,2.32,1.97,44.71,132.96,19.97,62.35,124.8,30.46,70.71,119.98,33.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
