time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0302,26.42,9.44,2.21,26.45,86.78,29.29,116.68,62.42,54.84,126.32,65.19,72.24,127.91,57.23,74.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0646,25.25,9.47,3.94,28.2,76.34,34.57,114.68,64.74,57.18,125.01,66.51,74.63,126.71,59.5,77.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0981,24.85,10.03,3.58,27.45,84.21,29.77,116.15,63.4,57.44,125.91,65.6,73.94,126.91,58.28,76.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1338,25.23,9.52,3.89,28.95,77.14,33.05,114.56,64.71,55.65,125.11,66.26,73.45,126.91,58.88,77.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1664,24.75,9.51,3.98,27.06,85.08,29.68,115.24,64.26,55.67,125.65,66.01,73.39,127.0,58.46,75.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1988,26.18,9.54,4.7,27.48,77.67,34.81,115.08,64.08,57.24,125.26,65.81,75.02,126.96,57.87,78.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2323,25.82,10.28,2.57,26.95,85.67,31.06,117.43,62.15,56.68,127.12,64.9,73.57,128.39,57.63,76.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2649,26.02,9.95,3.45,28.61,78.22,32.03,116.84,62.67,56.78,126.01,65.5,73.56,127.35,58.47,76.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2973,24.97,9.52,3.02,27.2,86.12,30.27,117.06,62.9,56.98,126.69,65.61,74.04,127.45,58.8,75.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3294,26.06,9.33,4.02,28.17,79.32,32.52,115.2,64.09,57.68,124.89,66.69,75.39,126.33,58.45,77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3637,25.6,10.13,3.12,27.65,85.57,29.67,117.02,62.67,58.52,126.53,65.51,75.58,128.04,57.98,78.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3972,25.92,9.46,3.89,29.04,80.91,29.8,116.79,62.41,56.69,126.17,65.56,75.52,127.26,58.4,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4284,25.5,9.89,3.4,27.49,83.94,29.45,117.65,61.89,59.88,126.46,64.97,76.22,127.07,58.12,76.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4616,24.59,9.9,3.44,29.29,79.06,31.11,117.19,62.46,58.05,126.36,65.65,74.9,126.96,58.82,75.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4943,26.28,9.73,2.3,26.63,87.01,29.32,117.2,62.52,57.58,126.74,65.42,74.53,127.85,58.16,76.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5283,26.24,9.61,4.35,27.41,81.51,31.49,115.75,63.7,60.37,125.71,66.06,76.76,127.74,57.93,79.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5639,25.56,9.92,3.51,26.7,83.94,31.28,116.22,63.08,61.35,126.37,64.79,77.52,127.85,57.46,79.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5993,26.11,9.61,4.69,28.45,79.06,32.47,116.15,63.41,60.24,126.07,65.33,77.48,128.01,57.23,80.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6329,26.56,9.58,2.32,26.16,86.86,30.77,115.71,62.87,55.12,126.2,64.57,74.48,127.5,57.33,77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6668,25.25,9.37,4.2,27.36,80.36,31.89,115.19,63.77,57.93,125.13,66.23,74.58,126.77,58.07,76.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6998,25.22,9.46,4.89,27.67,83.44,29.83,115.63,63.45,57.54,125.7,65.68,75.39,127.4,57.38,78.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7346,25.19,9.35,4.09,27.24,85.01,30.11,115.47,63.91,55.09,125.4,66.23,72.96,126.97,57.72,74.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7676,25.18,9.92,5.31,28.9,78.92,34.16,115.08,64.73,59.11,126.42,65.8,76.31,128.47,57.6,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8009,25.57,10.0,4.37,27.23,81.27,33.78,114.18,64.93,56.14,126.82,65.07,75.72,129.17,56.55,79.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8354,26.79,10.56,3.31,27.02,83.61,32.87,115.45,64.86,59.44,127.02,65.59,75.57,129.42,56.49,78.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8692,28.16,10.03,3.13,27.2,81.38,34.06,113.63,66.18,52.97,126.41,65.75,73.04,130.34,55.44,76.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9024,28.42,10.3,1.98,26.47,81.94,33.22,113.82,65.49,55.69,125.61,65.87,73.09,128.73,56.47,74.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9362,29.15,10.56,3.85,26.17,88.12,30.0,115.41,63.85,58.21,126.67,65.26,77.71,129.16,56.9,79.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9704,28.17,12.31,7.83,30.12,80.29,33.17,114.56,64.4,55.48,126.26,65.42,74.6,128.95,58.03,78.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
