time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.23,21.56,15.24,9.16,4.32,2.6,106.68,57.98,17.66,117.96,60.14,33.7,118.98,60.22,36.66
0.0672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.85,22.72,15.87,9.29,4.29,2.65,107.21,57.35,17.36,118.43,59.48,32.45,118.99,59.86,34.66
0.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,21.72,17.22,9.51,4.22,2.81,106.72,57.71,17.9,117.59,60.2,34.45,118.3,60.7,37.77
0.1328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,22.11,13.84,9.79,4.41,2.84,106.23,58.7,17.56,118.13,59.85,34.11,118.69,59.64,36.51
0.1668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,21.7,12.24,9.52,4.41,2.88,104.5,59.35,16.71,117.51,60.31,31.69,119.27,59.73,35.79
0.2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.39,22.1,10.35,9.52,4.38,2.75,104.36,60.42,17.12,117.88,60.63,33.58,119.63,59.9,37.86
0.2339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.61,21.98,11.67,9.42,4.06,2.97,102.99,62.08,17.79,116.82,61.67,34.02,118.13,61.51,37.59
0.2685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.46,21.29,11.19,9.46,3.84,3.07,101.13,63.86,18.14,116.37,62.15,35.44,118.07,61.98,39.43
0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.19,21.65,13.26,9.59,3.77,3.18,102.35,62.63,18.74,115.61,62.8,34.84,116.56,63.31,39.3
0.3371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.42,22.33,13.48,9.96,3.85,3.32,101.9,63.2,19.12,115.6,62.8,36.12,116.44,63.3,39.9
0.3699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.05,22.02,14.26,9.76,3.8,3.25,102.45,62.89,18.94,115.64,62.77,34.68,116.03,63.36,38.72
0.4042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.79,21.98,14.43,9.87,3.51,3.01,104.49,60.81,18.02,116.75,62.09,33.59,117.25,62.59,38.1
0.4378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.31,21.35,13.73,10.06,3.1,2.94,103.39,61.06,17.01,116.74,62.06,33.27,117.84,62.29,38.59
0.4711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,21.65,14.96,9.92,3.02,2.93,102.36,62.19,17.29,115.76,62.87,32.82,116.48,63.35,38.1
0.5064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78,22.68,15.94,9.97,2.94,2.95,103.93,60.7,17.13,116.77,61.78,32.42,117.95,61.8,38.07
0.5401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.16,22.58,14.45,10.16,3.12,3.05,104.25,60.69,17.73,117.35,61.21,34.79,117.85,61.95,40.28
0.5744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.79,22.24,14.46,10.16,3.24,3.09,103.96,61.13,18.0,117.84,60.51,35.17,118.54,60.96,40.05
0.6083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86,22.52,11.77,10.3,3.29,3.07,105.19,59.86,17.77,118.1,60.15,35.97,118.73,60.45,40.38
0.6427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.28,21.03,15.86,10.32,3.28,2.95,104.85,59.69,16.68,117.73,60.65,33.46,118.23,60.77,37.62
0.6763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,22.35,12.51,10.22,3.25,3.0,104.74,60.12,17.13,118.37,60.43,33.62,118.76,61.16,38.0
0.7124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.11,22.68,14.83,10.24,3.22,2.98,106.15,58.26,16.68,119.26,59.12,33.45,120.67,58.82,38.48
0.7465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.52,22.33,15.31,10.13,3.02,3.05,105.48,58.82,16.65,119.69,58.7,33.53,121.04,57.76,37.76
