time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,17.56,37.8,53.3,115.0,48.0,107.14,69.9,137.72,118.39,65.87,120.97,102.3,85.01,61.56
0.0707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.96,18.04,36.72,52.43,115.78,47.4,107.12,69.58,135.59,118.12,65.86,118.62,102.29,84.79,60.9
0.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.11,18.0,38.47,51.49,116.41,46.66,106.89,69.78,138.31,118.15,65.85,120.7,101.23,85.9,61.32
0.1456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.76,17.72,35.86,52.05,116.21,46.75,106.65,70.17,134.51,118.35,65.86,117.49,101.71,85.5,59.61
0.1824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.06,17.86,37.36,53.52,114.49,47.88,107.3,69.16,136.68,118.33,65.47,118.92,99.69,87.19,58.87
0.2191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.57,17.94,37.67,51.81,116.14,51.06,104.92,71.39,138.55,116.29,67.45,123.77,102.39,84.37,67.32
0.2569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.93,17.93,36.46,52.61,115.78,47.96,106.89,70.01,134.26,118.62,65.65,118.09,103.27,83.93,62.59
0.2979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.57,17.76,38.08,53.82,113.97,49.61,107.24,69.18,137.65,118.55,65.33,122.09,104.61,82.31,64.91
0.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.62,17.87,38.21,52.32,115.53,47.72,106.67,69.79,136.98,117.46,66.47,119.19,101.28,85.81,59.75
0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.43,18.45,37.07,53.0,114.67,50.78,106.19,70.09,139.14,116.87,66.93,123.06,102.13,84.51,66.36
