time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0312,47.95,44.38,82.98,26.18,144.77,21.74,30.18,146.38,89.61,35.29,146.95,67.16,26.12,154.34,39.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0631,49.46,45.14,81.28,26.33,144.28,21.0,30.33,145.81,78.97,36.05,145.72,63.96,28.59,151.91,39.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0952,48.55,44.8,81.44,25.82,144.58,22.83,30.22,146.16,85.76,36.16,145.88,67.44,29.19,151.63,41.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1284,46.32,44.84,80.98,26.57,143.61,23.58,31.72,144.74,82.39,38.03,144.14,66.6,29.43,151.29,40.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1621,46.25,45.56,78.38,28.41,140.54,30.69,34.47,141.62,102.02,43.54,138.39,79.59,35.33,145.2,44.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1951,45.66,44.69,78.13,29.02,139.84,33.46,35.75,140.92,115.34,45.2,137.79,83.18,37.58,143.14,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2281,47.5,44.72,80.16,27.64,141.43,31.14,35.54,140.77,104.41,45.28,137.21,81.92,39.62,141.02,50.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2608,46.95,45.23,79.99,28.87,139.72,33.53,37.06,139.32,104.46,47.79,134.8,82.76,41.15,139.78,51.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.293,46.76,44.54,79.71,28.73,139.78,33.7,36.75,139.64,105.2,47.72,134.76,82.57,39.76,141.0,49.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3266,47.92,45.0,79.39,28.35,140.72,33.38,36.71,139.79,104.44,47.5,134.91,83.81,40.69,139.55,49.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3594,45.3,44.79,79.8,28.76,140.37,29.25,36.22,140.17,98.95,45.61,136.72,77.97,37.74,143.03,46.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3929,47.17,45.14,80.48,28.27,141.41,30.9,35.54,141.28,102.46,45.85,136.74,81.78,37.15,143.31,46.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4265,47.58,44.33,81.85,28.95,140.93,27.27,35.75,140.66,104.83,44.99,137.38,79.96,35.79,144.48,46.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
