time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0302,38.6,10.63,5.3,15.99,24.26,14.04,24.14,102.01,29.15,84.21,97.17,20.83,97.53,88.1,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0674,38.13,10.83,4.53,15.67,22.89,13.65,23.76,101.6,29.6,83.11,97.92,20.64,95.71,89.71,27.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1009,37.37,10.59,4.82,15.88,25.43,15.72,24.7,99.52,29.12,84.01,97.58,20.04,96.91,88.8,27.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1337,37.24,10.33,5.44,16.0,25.38,15.64,25.62,101.1,28.38,84.99,96.51,20.49,96.55,89.36,27.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1677,38.45,10.9,5.34,16.27,25.33,15.85,23.76,102.67,29.26,83.12,97.83,21.14,96.11,89.63,28.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1998,38.85,10.92,5.5,16.17,24.4,14.77,23.34,100.97,29.51,82.11,98.86,20.26,95.75,89.36,27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2315,38.28,10.65,5.12,16.53,26.27,17.07,23.95,100.02,29.33,82.72,98.75,20.3,97.4,88.28,28.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2662,37.53,10.51,3.83,15.98,24.24,15.07,24.48,99.42,29.35,83.03,98.38,19.7,96.7,89.09,27.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2977,38.01,10.74,6.5,16.11,24.67,15.34,25.01,101.75,28.55,83.5,97.47,20.45,95.78,89.89,27.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3298,38.57,10.97,5.07,15.61,23.87,13.79,23.64,100.84,29.06,82.46,98.65,20.25,96.46,88.88,27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3625,37.54,10.62,5.36,16.17,24.96,16.26,24.26,99.47,29.33,82.57,98.93,19.94,97.12,88.58,28.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3958,38.57,10.58,4.25,16.31,25.42,15.6,24.72,99.79,29.07,82.96,98.12,19.83,96.33,89.07,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4314,38.26,10.8,5.04,15.98,24.82,14.58,24.47,100.3,29.0,83.09,98.34,20.22,97.2,88.87,28.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.464,38.82,10.62,4.92,16.44,25.41,15.56,24.33,100.73,29.13,82.19,98.96,20.58,96.11,89.79,28.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4973,38.05,10.96,4.46,16.08,24.83,14.78,23.95,101.18,29.2,82.95,98.23,20.53,96.63,89.09,28.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5323,37.68,10.93,4.06,15.89,24.63,15.05,23.8,100.94,29.28,82.46,99.05,20.05,95.69,89.9,27.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5652,38.18,10.65,4.05,15.96,25.36,15.9,23.7,101.07,29.36,81.91,99.44,20.02,95.33,90.18,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6022,37.22,10.59,4.93,16.04,25.74,15.98,23.91,99.81,29.43,82.06,99.43,19.63,95.39,90.2,26.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6364,37.59,10.72,5.95,16.16,26.96,16.55,24.79,100.46,28.85,83.98,97.26,20.27,96.87,88.98,27.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6692,39.2,10.56,5.81,16.21,25.44,15.59,23.33,101.95,30.09,82.81,98.26,20.68,96.19,89.32,27.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.702,38.27,10.71,6.77,15.91,23.43,12.34,23.18,103.03,29.18,82.8,98.27,20.94,97.72,87.89,28.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7343,38.65,11.1,5.39,15.98,24.78,14.83,23.78,101.31,29.2,84.22,96.94,20.48,98.04,87.3,27.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7687,38.27,10.47,6.13,15.77,24.91,14.46,24.91,101.87,28.42,85.93,95.42,21.57,98.41,87.19,29.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.801,38.16,10.97,6.22,15.76,24.15,14.03,23.93,103.29,28.69,84.81,96.32,21.51,98.21,87.4,29.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.836,38.25,10.83,7.19,15.97,23.87,13.23,23.93,102.48,28.69,84.19,97.01,21.34,98.21,87.18,29.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8675,38.96,10.49,5.76,15.94,23.0,12.41,23.75,102.56,29.25,82.99,98.03,21.15,98.34,87.27,29.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8994,37.97,10.48,6.94,15.88,23.86,12.81,24.25,100.35,29.01,83.21,98.24,20.28,97.16,88.23,28.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9344,38.13,10.81,4.59,16.34,25.78,16.19,24.3,98.47,29.26,82.85,98.5,20.21,96.92,88.61,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9679,37.87,10.34,6.49,16.12,24.98,15.67,25.04,102.17,28.01,83.79,97.5,20.8,96.89,88.88,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
