time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.72,9.26,9.81,39.12,73.14,15.58,113.46,68.98,62.06,120.42,69.84,73.12,113.62,77.22,65.12
0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,9.18,9.57,40.92,72.38,14.09,113.34,68.7,63.55,119.52,70.18,75.63,112.55,78.05,66.48
0.1212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01,9.34,10.27,39.25,74.93,14.41,113.02,69.0,64.01,119.91,70.0,74.33,113.21,77.49,66.34
0.1609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.98,8.99,9.07,40.82,72.94,13.88,114.57,68.28,64.2,120.31,70.14,75.04,113.22,77.92,65.77
0.2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,9.33,8.91,39.99,73.42,14.67,114.86,67.1,63.38,120.49,69.15,74.39,113.05,77.19,64.96
0.2432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.06,9.09,8.79,39.46,74.0,14.03,114.18,67.84,64.48,119.81,69.9,74.09,113.1,77.67,65.01
0.2827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,9.17,6.37,39.74,76.13,15.09,115.03,67.53,67.95,120.13,70.04,75.53,113.91,77.02,65.59
0.3232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.92,9.17,5.52,39.33,73.68,14.82,115.44,66.84,65.12,120.33,69.46,73.43,113.37,77.5,63.61
0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09,9.02,6.22,40.32,73.88,15.64,114.98,67.62,69.01,120.46,69.88,77.36,114.07,77.38,66.1
0.4024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.21,8.8,5.66,39.82,76.11,17.29,113.35,69.51,67.58,119.73,70.77,77.19,113.23,77.75,65.72
0.4432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.92,9.35,5.08,38.7,77.2,17.54,113.7,68.8,67.91,119.93,70.1,77.39,113.58,77.49,66.18
0.4818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,9.21,4.56,39.26,76.67,16.7,113.8,69.24,64.71,119.97,70.76,75.14,113.65,77.76,64.94
0.5211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.44,9.18,4.99,38.59,78.06,17.61,112.79,69.54,63.06,119.34,70.67,74.52,113.22,77.78,65.53
0.5608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,8.85,4.81,38.79,77.24,16.43,113.73,69.05,66.6,120.04,70.34,79.39,113.97,77.11,67.55
0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.94,9.34,3.26,37.95,74.86,16.47,115.18,66.96,64.08,120.99,68.88,75.14,113.52,76.77,64.64
0.6416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.57,9.78,5.27,39.26,75.14,15.8,114.64,67.5,64.94,120.58,69.22,75.89,112.8,77.57,65.03
0.6827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,9.41,5.37,38.81,75.19,15.44,114.28,67.79,63.44,120.48,69.46,75.68,113.66,76.78,66.19
0.7204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.83,10.02,6.23,39.51,74.42,15.3,114.27,67.54,63.83,119.68,69.83,75.2,112.1,78.33,66.0
0.7587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.81,9.62,5.53,39.65,72.91,16.55,114.41,67.45,61.25,121.1,68.77,74.32,114.45,75.98,65.38
0.7981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.44,9.3,6.28,39.15,76.4,14.93,113.92,68.09,65.21,119.52,70.18,76.54,112.46,78.05,66.94
0.8365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,9.03,5.38,39.97,75.5,15.88,115.3,67.63,67.1,121.35,69.35,78.6,114.49,76.84,66.61
0.8767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.98,9.37,5.15,40.3,74.51,16.63,114.42,67.9,67.44,119.68,70.11,78.78,112.48,78.09,66.97
0.9141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,9.21,6.1,39.0,74.12,17.56,114.38,67.4,64.48,120.39,69.14,76.95,113.39,76.99,66.75
0.9504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,9.03,6.78,38.78,75.34,15.42,113.75,68.57,66.01,119.9,69.92,77.28,112.56,77.93,66.56
0.9897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28,9.34,7.59,40.85,72.2,14.02,115.43,67.03,65.65,121.41,68.7,77.73,113.95,76.68,66.77
