time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0365,16.41,34.57,15.98,3.05,3.16,4.05,3.79,2.51,3.98,6.22,1.98,5.86,9.19,4.1,7.51
0.0746,16.51,34.6,15.87,3.13,3.25,3.98,3.91,2.59,4.14,6.41,1.81,6.05,9.16,3.91,7.73
0.1134,16.43,34.17,15.92,3.58,3.19,3.95,4.19,2.43,4.19,6.82,1.64,6.18,10.15,4.03,8.07
0.1523,16.23,34.53,16.46,3.77,2.98,3.88,3.64,3.0,4.44,6.45,1.78,6.13,9.66,3.48,7.62
0.1908,15.8,33.8,15.39,3.7,2.7,3.83,3.76,2.75,4.39,6.31,1.94,6.04,9.41,3.96,7.59
0.2277,15.62,33.55,14.2,3.56,2.85,3.85,3.58,2.74,4.33,6.2,2.2,5.92,9.27,4.21,7.54
0.2674,15.41,33.74,14.5,3.47,3.1,4.13,3.51,2.52,4.42,5.79,1.88,6.1,8.83,4.25,7.59
0.3041,15.84,33.85,14.39,3.08,3.36,3.97,3.68,2.33,4.03,5.96,1.74,5.92,9.07,4.04,7.66
0.344,15.41,34.06,15.33,3.42,2.76,3.88,3.93,2.67,4.42,6.2,2.2,6.02,9.23,4.61,7.53
0.3812,15.79,33.74,15.4,3.29,3.18,3.86,3.81,2.53,4.01,6.39,2.28,5.87,9.48,4.4,7.45
0.4184,15.38,34.07,15.45,3.41,2.69,3.88,3.89,2.58,4.3,6.33,2.28,5.89,9.79,4.45,7.5
0.4562,15.47,34.24,15.19,3.21,3.42,4.01,3.57,2.42,4.19,6.1,1.95,6.01,9.31,4.19,7.55
0.4955,15.26,33.96,15.08,3.29,3.2,3.92,3.74,2.55,4.13,6.3,1.97,5.98,9.5,4.24,7.55
0.5341,15.34,33.88,15.72,3.46,2.84,3.87,3.87,2.72,4.32,6.31,2.21,5.94,9.57,4.23,7.48
0.5725,15.28,33.94,15.34,3.2,3.23,3.85,3.6,2.53,4.11,6.06,1.81,5.94,9.34,4.13,7.52
0.6094,15.44,34.16,15.67,3.44,2.98,4.02,3.66,2.61,4.27,6.26,2.07,6.06,9.33,4.08,7.54
0.648,15.19,34.05,15.37,3.24,3.05,3.96,3.62,2.59,4.14,6.22,1.94,5.93,9.36,3.8,7.49
0.6855,15.52,34.26,16.03,3.36,3.16,3.92,3.7,2.58,3.95,6.24,2.06,5.87,9.45,3.68,7.47
0.7228,15.46,34.42,15.71,3.41,3.04,3.88,3.68,2.63,4.12,6.09,1.88,5.93,9.23,3.5,7.56
0.763,15.49,34.16,15.95,3.71,3.06,3.91,3.62,2.52,4.29,6.09,1.85,6.11,9.33,4.03,7.67
0.8021,15.47,34.33,15.23,3.27,3.21,3.93,3.6,2.55,4.34,6.14,1.9,6.18,9.19,4.31,7.69
0.8407,15.66,34.28,15.72,3.33,3.09,3.95,3.66,2.67,4.24,6.26,2.26,6.08,9.13,4.07,7.51
0.8791,15.8,34.4,14.94,3.04,3.21,3.9,3.64,2.52,4.0,6.01,1.62,5.94,9.19,3.7,7.65
0.9167,15.49,34.39,16.19,3.29,3.31,3.98,3.77,2.6,4.11,6.04,1.72,5.89,9.26,3.5,7.56
0.9544,15.64,33.98,15.44,3.15,3.31,3.81,3.78,2.45,3.97,6.12,1.74,5.87,9.38,3.97,7.49
0.9919,15.84,34.03,14.95,3.16,3.1,3.86,3.97,2.64,4.16,6.38,2.1,5.81,9.58,4.17,7.41
