time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0319,24.99,29.19,75.05,9.87,3.19,2.39,44.79,133.19,23.91,62.74,124.72,36.42,70.1,120.47,37.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0654,24.9,25.26,46.24,10.15,1.99,1.78,40.09,136.74,20.23,55.53,131.69,29.79,66.74,124.1,34.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0995,24.79,24.34,53.62,10.51,1.43,2.91,40.88,133.98,21.34,59.85,125.57,32.89,68.95,119.78,34.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1345,26.97,24.16,56.06,10.01,3.04,2.12,43.41,134.73,22.17,63.22,124.43,33.34,72.47,117.99,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.168,25.98,25.78,60.29,10.28,1.53,2.24,41.04,135.01,20.21,56.32,130.36,31.23,67.12,123.27,34.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2027,26.34,26.24,63.21,10.32,1.61,3.29,42.45,132.86,23.13,60.5,124.83,35.74,68.71,119.88,36.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2366,27.71,23.6,54.84,9.76,3.0,2.35,44.46,133.03,22.15,65.93,121.14,34.35,74.59,114.92,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2725,27.29,22.7,50.5,10.51,1.58,3.21,41.16,133.52,22.75,61.84,123.79,35.9,72.97,115.85,38.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.306,26.5,25.42,64.52,9.81,3.38,2.14,44.59,133.27,23.27,64.67,122.8,35.84,72.91,117.27,37.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3412,24.36,24.68,57.79,10.38,1.88,3.14,43.14,132.33,23.3,63.57,122.51,36.46,73.24,116.33,38.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3757,28.52,24.84,58.89,9.66,1.95,2.55,43.51,132.91,20.53,64.03,122.46,32.67,74.02,115.51,35.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4104,30.23,26.1,62.09,10.55,1.29,2.78,42.95,132.13,21.01,62.3,123.06,31.93,74.43,114.2,37.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4452,28.52,24.58,62.16,9.81,2.72,2.08,44.46,133.05,22.22,63.82,123.28,34.05,73.35,116.37,36.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4811,27.73,26.97,68.51,10.12,1.4,2.8,43.68,131.92,22.67,62.71,123.28,35.53,74.41,115.1,39.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5165,25.91,23.6,64.85,9.84,2.39,2.84,45.12,131.36,22.22,64.95,121.45,33.62,74.75,114.87,36.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.552,27.05,24.9,67.52,10.04,0.88,3.49,43.94,130.89,21.53,62.03,123.5,33.11,73.21,116.09,37.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5866,31.53,25.57,65.98,10.14,1.87,2.72,44.41,132.56,20.75,63.27,123.39,31.48,75.28,114.65,38.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6204,27.84,25.81,66.82,10.02,1.31,3.16,46.11,128.95,21.78,65.58,119.85,33.66,76.26,112.74,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6542,33.04,25.15,71.85,9.54,1.64,2.51,49.67,126.66,19.94,73.74,112.46,32.89,86.83,102.51,42.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6879,34.8,25.11,63.93,9.98,0.76,3.15,48.04,126.94,20.21,69.31,116.03,31.86,82.6,105.55,38.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7225,31.05,25.2,59.54,9.02,2.16,2.25,49.21,128.07,19.81,70.92,116.52,31.41,83.45,107.19,38.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
