time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.031,32.55,12.9,5.4,25.94,83.0,39.65,113.85,63.85,51.76,127.31,63.69,74.58,131.91,54.94,88.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0642,31.89,11.79,6.03,26.24,84.3,37.49,114.55,63.53,52.94,127.05,64.03,75.12,131.08,55.47,87.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0965,31.15,13.0,4.63,27.21,81.82,38.89,114.37,63.58,52.65,127.37,63.98,74.11,131.34,56.08,86.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1308,30.73,12.35,5.19,27.52,82.58,37.54,115.09,62.77,56.91,128.09,63.16,77.7,131.94,55.49,89.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1637,32.04,12.36,5.38,27.1,84.14,37.24,115.58,62.17,52.82,128.02,63.3,74.71,131.91,55.44,87.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1981,32.35,12.63,6.81,27.28,84.88,36.46,114.78,62.87,54.03,127.25,63.67,76.08,131.25,55.0,87.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2318,32.3,12.51,6.4,29.01,81.53,36.67,116.24,61.88,54.55,127.01,63.9,75.94,129.79,56.34,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2658,31.51,12.44,7.22,27.85,81.84,38.66,116.16,62.6,57.17,127.62,63.69,77.34,130.97,55.96,88.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2991,31.83,12.91,9.16,26.73,86.15,36.32,115.89,61.81,56.67,127.08,63.33,76.89,130.72,55.12,87.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3311,31.32,12.73,9.6,26.59,86.75,34.99,115.29,62.16,54.02,126.99,63.29,74.19,130.59,55.18,85.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3632,31.62,12.45,9.69,27.17,83.92,35.19,114.84,62.69,53.2,126.82,63.56,75.0,131.02,55.1,88.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3984,31.64,12.93,8.64,28.6,81.99,35.72,116.46,61.57,53.48,128.15,62.94,74.74,131.01,54.7,85.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4332,32.13,12.38,9.93,26.35,86.94,36.03,114.14,63.07,53.76,126.05,63.98,74.36,129.59,55.6,85.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.466,31.74,12.09,10.59,28.85,86.23,33.22,114.53,63.07,52.82,126.25,64.05,74.23,129.85,55.67,86.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4999,30.67,12.06,9.47,29.87,83.6,33.49,116.16,62.06,53.51,127.3,64.21,73.37,129.89,55.79,83.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5344,31.47,13.68,9.21,30.16,81.76,35.81,115.09,63.21,56.85,126.62,64.87,76.37,129.7,56.88,87.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5686,31.08,12.19,9.46,31.18,78.13,34.17,115.56,62.91,53.33,126.87,64.7,74.89,129.47,56.38,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6026,30.57,12.83,9.12,30.51,78.49,34.46,117.18,61.92,57.12,127.4,64.78,76.87,129.6,57.33,86.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6349,30.87,12.08,9.02,28.87,81.14,33.72,116.09,62.41,57.87,126.7,64.83,76.79,128.84,57.48,86.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6813,31.53,11.84,8.07,30.0,84.39,32.02,115.4,63.12,55.5,126.87,64.84,78.02,129.32,57.41,87.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7161,30.83,11.28,9.68,31.29,89.16,29.37,113.29,64.01,57.17,125.8,64.74,80.0,129.21,56.44,90.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7504,30.31,12.25,11.98,30.25,87.1,29.63,113.33,64.42,55.36,125.51,65.26,76.82,128.69,56.3,86.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7836,30.28,12.17,11.23,30.4,83.07,32.13,114.66,63.96,55.03,126.17,65.47,75.71,128.81,56.63,84.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
