time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0107,26.38,10.66,5.43,13.2,11.39,1.82,9.0,16.12,5.28,8.23,17.54,6.86,7.51,15.06,7.69
0.0585,26.24,10.72,5.23,12.73,11.15,1.8,8.51,15.93,5.36,8.02,17.34,7.05,7.75,14.61,7.81
0.077,26.96,10.39,6.59,12.91,11.43,1.84,8.85,16.11,5.41,8.26,18.01,7.1,7.7,15.29,7.78
0.1235,26.18,10.46,6.58,12.35,10.41,1.32,8.7,15.04,4.32,8.68,17.64,6.23,9.12,14.53,7.01
0.1536,24.93,10.25,4.97,12.49,12.16,1.7,9.71,19.94,8.76,10.15,27.13,16.13,10.59,24.24,14.02
0.1876,25.72,9.97,4.06,13.35,12.23,4.03,11.01,22.61,14.08,11.05,30.14,23.93,10.74,26.49,17.74
0.2152,24.48,9.99,3.84,14.32,13.91,4.89,12.87,25.66,17.39,13.1,34.74,30.06,12.18,30.42,24.71
0.2492,24.6,10.66,2.52,14.15,13.11,5.14,12.15,24.75,18.24,12.09,32.81,29.15,11.39,27.14,21.24
0.2773,24.16,10.82,2.69,14.32,13.43,4.68,13.02,25.71,18.74,13.58,33.21,28.08,12.03,27.55,21.08
0.3108,23.31,11.45,2.35,14.87,14.33,4.27,13.65,26.69,18.02,14.45,34.98,30.27,12.47,30.88,24.47
0.3441,23.92,10.56,2.47,14.77,14.08,4.01,13.37,26.0,15.79,13.76,33.21,26.1,12.09,27.58,19.25
0.3838,24.11,9.5,1.84,14.35,13.95,3.73,13.39,26.43,15.9,13.66,35.84,28.71,12.48,28.58,20.22
0.4166,25.88,9.91,1.9,14.03,14.51,3.99,12.93,27.06,18.86,13.05,37.75,35.71,12.46,30.75,24.88
0.451,26.17,10.0,2.1,14.21,15.18,4.56,13.23,27.68,19.24,13.67,38.05,34.89,13.65,30.29,24.53
0.4809,25.83,9.55,1.94,13.79,15.05,4.97,12.44,26.81,18.0,12.79,37.23,34.56,14.66,26.58,20.55
0.5109,25.32,9.34,3.04,15.3,19.9,9.8,13.28,34.03,26.8,12.37,42.01,38.12,18.39,26.3,22.97
0.5507,26.21,8.92,3.03,15.25,23.44,12.6,12.45,36.46,31.61,12.24,46.22,40.59,22.81,26.6,25.28
0.5818,26.91,9.17,3.42,15.9,26.34,18.21,12.31,40.43,39.47,10.15,48.28,45.83,19.98,28.97,29.78
0.6143,26.11,9.27,2.46,15.91,25.94,12.52,12.84,39.39,30.84,11.82,51.33,41.34,21.71,32.47,31.46
0.6457,26.09,9.34,2.52,16.19,27.6,13.18,13.34,41.5,31.87,12.7,53.75,41.98,22.61,34.21,33.08
0.6775,26.51,8.81,2.72,15.87,28.38,16.55,13.09,41.95,35.26,12.8,51.92,42.56,24.02,32.49,33.5
0.711,26.56,9.22,3.12,16.58,27.5,15.57,13.57,41.13,31.19,12.77,49.15,38.82,23.67,31.55,29.3
0.7499,26.49,9.13,2.82,16.45,29.17,16.44,13.51,42.57,32.66,12.68,49.18,39.27,23.1,30.62,28.63
0.7835,26.05,9.51,3.32,16.47,28.49,14.73,13.56,41.64,30.72,13.07,48.97,37.2,24.39,29.97,26.63
0.8111,26.39,9.21,3.53,16.38,28.7,16.52,13.28,41.0,30.19,12.79,47.0,35.55,23.7,27.57,23.5
0.8419,26.64,9.36,3.62,16.74,29.02,15.31,13.56,41.38,29.8,12.9,47.76,35.49,24.39,28.17,25.1
0.8835,25.54,9.28,3.71,16.62,27.8,15.73,13.49,40.49,27.27,13.16,46.95,33.36,24.15,27.5,22.05
0.9169,25.8,9.25,3.02,16.09,28.78,14.33,13.3,40.97,28.07,13.22,47.63,33.11,23.98,29.44,22.33
0.9483,26.53,9.22,3.38,16.2,28.32,14.82,13.18,41.01,28.78,13.12,47.97,33.23,24.76,27.72,22.32
0.9792,25.24,9.49,2.45,16.04,28.83,15.43,13.22,41.77,30.33,13.83,47.79,35.35,26.22,27.44,24.77
