time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0344,17.81,7.47,11.25,39.53,86.28,16.0,5.71,5.62,3.99,3.65,4.66,2.23,12.68,0.96,5.59
0.0717,17.74,7.52,11.84,40.26,85.99,16.38,6.07,5.86,4.13,3.55,4.98,2.32,12.59,1.22,5.54
0.111,17.99,7.42,12.14,40.11,86.37,16.18,5.64,5.67,3.94,3.74,4.82,2.4,12.7,1.05,5.59
0.1476,18.54,7.47,11.37,41.2,85.66,15.98,6.02,5.69,4.23,3.57,4.96,2.3,12.73,1.08,5.53
0.1863,17.37,7.92,11.2,40.83,85.32,16.03,5.97,5.81,4.13,3.7,5.02,2.18,12.75,1.11,5.57
0.2225,17.79,8.01,11.09,41.15,85.73,15.78,5.58,5.64,4.37,3.93,5.05,2.41,13.23,1.11,5.58
0.2588,18.38,7.75,11.2,39.27,86.07,16.38,5.72,6.0,4.43,3.56,5.24,2.13,12.82,1.43,5.49
0.2951,18.08,7.62,12.12,38.12,87.01,17.01,5.76,5.68,4.14,3.62,4.81,2.14,12.51,1.08,5.61
0.3304,17.9,7.47,11.57,38.85,86.65,16.95,5.8,5.58,4.23,3.41,4.91,2.0,12.32,1.17,5.54
0.3675,17.85,7.85,11.76,39.63,86.05,16.54,5.73,5.7,4.28,3.71,4.87,2.21,12.82,1.16,5.58
0.4046,18.03,7.77,11.22,39.69,85.36,16.66,5.64,5.7,4.45,3.59,4.91,2.13,12.61,1.19,5.37
0.4398,18.17,7.78,11.28,39.39,85.44,16.54,5.77,5.81,4.46,3.63,4.87,2.24,12.75,1.18,5.54
0.4779,17.93,7.7,11.63,39.27,85.93,16.64,5.66,5.54,4.33,3.75,4.73,2.22,12.76,1.02,5.56
0.5138,18.48,7.55,12.34,38.68,87.02,17.03,5.57,5.65,4.39,3.63,4.76,2.38,12.61,1.0,5.5
0.5524,18.05,7.78,11.91,39.65,86.58,16.34,5.64,5.6,4.44,3.76,4.68,2.29,12.82,0.89,5.49
0.5888,17.96,7.82,11.34,39.76,85.75,16.28,5.64,5.57,4.35,3.57,4.89,2.06,12.63,1.02,5.52
0.6261,18.12,7.6,12.82,38.85,86.63,16.4,5.5,5.82,4.33,3.62,5.0,2.08,12.68,1.12,5.51
0.6643,18.23,8.0,12.76,37.87,87.31,16.95,5.44,5.88,4.35,3.74,5.09,2.28,13.13,1.14,5.56
0.6991,18.3,8.24,11.87,38.18,86.2,16.95,5.65,6.25,4.27,3.65,5.46,2.22,13.06,1.35,5.64
0.7358,18.26,8.28,12.94,38.07,86.16,16.74,5.6,6.31,4.08,3.6,5.38,2.29,12.8,1.23,5.65
0.7722,18.2,8.25,13.04,39.11,85.27,16.51,6.02,6.3,4.05,3.52,5.44,2.24,12.68,1.27,5.69
0.8073,18.25,8.04,12.74,36.72,87.51,17.11,5.59,6.22,4.07,3.72,5.46,2.25,12.82,1.33,5.82
0.8459,17.93,7.97,14.77,37.12,88.05,17.75,5.41,5.94,4.52,3.89,4.96,2.27,12.88,0.87,5.28
0.8824,17.84,6.57,15.87,35.56,88.27,17.81,4.83,5.57,5.07,3.69,4.72,2.17,12.43,1.3,4.96
0.9191,17.99,7.24,14.77,36.01,88.37,18.59,4.83,5.83,5.03,3.77,4.85,2.26,12.32,1.33,4.8
0.9548,17.4,7.33,15.66,36.75,89.02,18.29,4.88,5.77,4.95,3.79,4.86,2.28,12.24,1.21,4.75
0.9915,17.28,6.79,15.84,36.75,88.91,18.37,5.07,5.5,5.06,3.65,4.7,2.06,11.96,1.28,4.76
