time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0293,23.56,24.99,52.36,16.29,5.24,5.62,31.13,134.91,17.82,50.26,122.31,26.19,59.54,115.47,30.38
0.0645,22.48,24.91,51.0,16.56,4.98,5.6,31.11,134.38,17.61,50.15,122.35,25.92,57.45,117.62,30.09
0.0963,22.72,24.48,48.84,16.1,5.11,5.62,31.53,135.48,18.59,48.79,124.07,27.19,56.21,118.92,31.0
0.1264,23.16,25.08,52.01,16.4,4.91,5.65,31.73,135.07,18.02,49.69,123.36,26.21,56.63,118.92,29.9
0.1602,22.13,24.89,49.69,16.11,5.19,5.42,31.66,135.45,17.49,48.78,124.15,25.85,54.6,120.49,29.6
0.1916,22.85,24.95,50.42,16.13,5.01,5.34,31.54,134.29,17.63,53.03,119.73,25.84,60.41,114.8,30.13
0.2282,23.81,24.97,50.47,16.03,4.77,5.66,31.34,135.52,18.41,51.65,121.26,27.18,61.28,113.9,31.61
0.2614,22.93,24.82,51.77,15.78,5.07,4.49,28.64,135.89,17.02,51.18,121.42,24.4,58.82,116.42,29.16
0.2938,23.08,24.67,49.82,16.18,4.85,5.69,31.85,134.49,17.97,52.05,120.79,27.2,62.15,113.16,32.31
0.3285,22.83,24.84,51.86,16.05,4.87,5.01,29.39,136.19,16.81,49.98,122.72,23.96,57.27,118.08,28.06
0.3634,23.5,25.36,51.55,16.43,5.01,5.37,30.47,135.36,17.7,48.79,123.71,25.76,54.97,119.9,29.55
0.3963,22.6,24.71,49.99,15.89,5.16,4.58,29.22,135.02,16.51,51.11,121.27,24.27,58.27,116.69,28.63
0.4275,23.94,25.18,52.45,16.65,5.01,6.48,33.54,133.73,19.28,49.26,123.49,27.99,57.41,117.72,31.52
0.4603,22.67,24.78,51.75,16.3,4.73,6.06,32.58,135.0,18.67,50.55,122.78,27.78,58.28,117.78,31.78
0.4906,23.5,25.03,49.1,16.03,4.84,5.43,30.73,135.78,18.83,50.87,122.37,27.0,57.1,118.11,30.76
0.5231,23.06,24.64,50.66,16.27,5.01,5.29,30.21,135.82,17.77,49.57,123.05,26.13,57.83,117.05,30.45
0.5598,22.83,24.65,48.62,16.2,5.09,4.95,29.53,135.34,16.45,51.3,121.26,23.62,58.64,116.34,27.56
0.5864,23.46,25.01,49.66,16.22,4.92,5.79,32.03,134.6,18.12,51.6,121.5,26.68,60.25,115.31,30.99
0.619,22.75,24.41,51.17,16.04,4.91,5.22,29.81,135.72,17.89,50.48,122.05,26.39,58.57,116.1,30.9
0.6599,23.07,25.07,46.37,16.33,4.96,5.49,31.91,134.2,17.88,51.93,120.99,26.35,60.61,114.99,30.68
0.6818,23.15,24.15,50.22,16.19,4.99,5.25,29.92,135.98,17.59,49.04,123.7,24.94,56.04,118.59,28.8
0.7305,23.18,24.77,49.4,16.71,4.97,5.65,31.66,135.27,18.23,48.91,124.03,26.85,55.35,119.94,30.48
0.7624,22.97,24.89,48.66,16.43,5.15,5.39,31.29,135.05,17.19,49.17,123.23,25.26,56.72,117.76,29.28
0.7934,22.31,24.79,49.48,16.61,5.02,5.49,31.5,134.24,17.57,49.29,123.26,25.65,53.78,121.37,29.02
0.8259,22.92,24.85,48.22,16.16,5.12,5.64,31.3,135.27,17.36,50.3,122.56,24.98,57.7,117.07,28.6
0.8615,22.75,25.08,49.74,16.52,4.98,5.76,32.18,134.04,17.7,52.63,120.12,26.18,60.75,114.44,29.64
0.8939,23.08,25.12,53.54,16.34,5.27,5.21,30.93,135.33,17.66,47.38,124.83,25.46,52.92,121.63,29.6
0.9262,22.63,24.49,49.59,15.84,5.12,5.15,31.2,133.77,17.27,53.1,119.32,26.45,61.06,113.93,31.53
0.9595,22.78,25.53,49.97,16.53,4.97,5.65,32.32,133.48,17.76,52.01,120.57,26.07,57.7,117.31,29.61
0.9893,22.07,24.5,49.21,15.76,4.86,4.88,29.89,135.9,17.46,52.63,120.54,25.68,59.88,115.81,29.98
