time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0337,15.69,12.07,10.22,89.72,137.07,48.21,75.13,157.36,23.66,66.12,131.92,27.12,73.03,126.84,19.35
0.0697,15.55,11.86,10.2,90.4,136.88,49.09,75.25,156.42,22.62,66.13,131.0,27.06,73.44,125.69,19.51
0.1054,14.89,12.08,10.56,91.31,140.13,44.51,75.65,160.9,20.67,65.32,133.58,24.64,72.21,128.03,16.94
0.1431,14.38,11.39,10.53,92.49,141.72,45.19,76.9,161.59,19.72,65.53,134.11,24.69,70.81,129.25,16.92
0.1797,14.49,11.84,10.23,91.27,140.63,44.0,75.96,160.78,20.05,65.51,133.61,24.53,71.68,128.81,16.72
0.215,14.31,11.9,9.78,91.51,142.68,41.66,76.43,162.53,19.85,65.6,134.67,24.81,70.6,130.39,16.75
0.2516,14.92,11.78,10.48,91.61,139.92,45.96,76.49,159.07,21.24,66.28,132.37,25.91,72.17,127.39,18.17
0.287,14.99,12.05,10.32,91.49,140.61,44.77,76.41,160.53,21.07,66.15,133.17,25.56,71.97,128.34,17.81
0.326,14.33,11.84,10.09,92.0,144.13,41.42,76.47,162.72,19.54,65.11,135.0,24.31,70.41,130.28,16.29
0.3611,14.35,11.91,9.94,91.48,144.42,40.66,76.34,162.25,18.29,65.67,134.51,23.63,70.78,129.89,16.03
0.4012,15.04,12.05,9.53,90.81,141.92,43.12,76.15,159.29,19.52,66.43,132.64,24.74,71.96,128.37,17.3
0.437,14.86,12.0,9.96,90.06,138.76,44.99,75.33,158.95,20.51,65.49,132.62,24.81,71.72,128.47,17.0
0.4725,14.56,11.44,10.86,91.4,140.25,44.75,76.35,161.75,19.2,64.99,134.82,24.14,70.19,130.4,16.27
0.5091,14.82,11.93,10.89,90.96,141.26,42.89,75.56,161.14,18.93,65.51,133.57,23.96,71.95,128.3,16.63
0.5454,14.79,11.69,9.96,89.87,143.25,41.53,74.76,160.78,19.24,64.86,133.42,24.22,71.73,128.25,16.7
0.5829,14.88,11.63,9.79,90.95,136.96,48.6,76.58,157.67,22.1,66.36,132.51,26.02,71.72,128.29,18.19
0.6191,15.48,12.06,9.71,90.54,137.57,47.65,75.91,156.95,22.34,66.39,131.74,26.2,72.61,127.35,18.51
0.6549,15.17,12.01,10.34,92.0,140.82,44.46,76.8,160.82,20.55,65.93,133.81,24.68,71.55,129.2,16.66
0.6912,15.3,11.78,10.05,92.05,139.29,45.18,77.03,159.35,20.24,66.16,133.3,24.55,71.93,128.02,16.99
0.7277,15.01,12.29,10.0,92.01,139.53,43.15,77.24,159.98,20.18,66.78,133.29,24.56,72.17,128.85,16.46
0.7649,15.23,12.64,10.67,89.97,136.67,47.77,74.95,157.62,21.83,66.23,131.29,25.77,73.8,126.37,18.08
0.8019,15.16,12.16,9.91,90.74,139.82,44.69,76.12,158.73,20.23,66.36,132.51,24.64,72.94,127.6,16.99
0.8379,14.66,12.23,10.34,92.08,138.59,46.02,76.22,161.14,21.07,65.88,133.76,25.07,72.56,129.16,16.95
0.8731,15.16,11.9,10.16,89.2,136.84,46.35,76.03,157.02,21.17,66.5,131.59,25.24,72.57,127.9,17.35
0.9099,15.48,13.02,10.27,90.72,134.46,48.59,76.07,158.14,23.63,66.87,131.98,27.02,74.14,127.01,19.0
0.9457,15.48,12.53,11.0,89.99,138.21,44.3,76.03,157.75,21.15,67.35,131.23,25.77,74.0,126.59,18.31
0.9823,15.64,12.95,10.82,90.66,133.29,46.96,77.05,156.81,22.71,68.3,130.9,26.16,74.9,126.5,18.63
