time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.16,19.5,24.1,28.44,127.36,51.99,45.42,122.99,75.13,43.0,126.32,57.17,39.74,130.77,40.42
0.0931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.53,21.78,22.62,36.36,119.87,50.52,51.2,116.73,70.46,45.92,123.83,46.15,40.97,127.77,32.09
0.1317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.73,21.67,23.49,31.05,122.83,44.93,44.35,122.04,59.21,41.67,127.16,45.57,38.3,132.84,34.84
0.1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,20.73,23.17,29.7,124.5,50.27,47.25,120.66,79.12,46.32,124.53,62.51,44.88,126.6,44.34
0.2112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,20.96,23.45,29.4,126.23,48.75,45.92,121.61,67.71,43.89,125.94,51.06,41.04,131.34,35.44
0.2522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96,21.7,24.21,29.81,125.43,46.21,45.48,121.13,60.93,44.01,124.83,46.66,42.22,129.68,32.77
0.2918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.28,21.85,24.04,29.19,124.25,44.57,44.14,121.1,55.48,42.82,125.29,43.67,43.41,129.16,31.71
0.3326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.35,21.41,23.57,29.2,124.38,43.04,43.94,121.03,49.53,42.03,125.85,39.45,42.44,130.75,30.0
0.3712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.56,21.34,23.97,29.55,124.88,44.05,44.88,120.76,52.99,42.9,125.75,40.94,41.86,131.05,30.27
0.4095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.92,21.39,23.79,25.92,128.83,41.78,41.2,124.45,50.58,39.34,129.06,39.35,39.35,133.41,29.85
0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.97,21.94,23.04,29.19,124.33,43.69,45.05,120.47,53.91,43.19,125.97,41.77,40.78,132.5,30.67
0.4903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.45,21.7,24.16,23.33,132.36,37.31,39.07,126.34,44.94,40.26,129.0,39.17,42.48,133.74,30.54
0.5286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.58,21.53,23.84,29.47,126.49,44.22,44.95,121.97,52.99,43.07,126.36,40.94,41.73,132.73,29.36
0.5679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,21.59,23.54,30.63,125.3,48.22,46.98,121.97,64.49,47.76,123.38,53.84,50.58,123.03,40.5
0.6067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96,21.77,23.54,27.23,127.61,41.32,43.6,122.53,51.98,43.61,125.4,41.1,45.19,128.95,30.37
0.6457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.45,22.17,23.5,26.78,128.58,40.24,41.37,123.45,42.17,39.46,127.82,32.52,39.89,133.53,25.05
