time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73,15.8,7.27,10.57,3.31,2.46,102.08,62.93,17.28,115.94,62.19,27.77,117.28,61.15,32.87
0.0768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.44,16.18,5.96,10.35,2.96,2.44,103.15,61.06,17.25,116.37,61.2,25.75,116.45,61.47,30.25
0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12,16.22,6.97,10.0,3.18,2.48,102.06,62.38,17.34,116.28,61.61,26.48,117.25,60.82,31.24
0.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.12,16.83,6.74,10.23,3.29,2.47,102.83,61.63,17.2,116.71,61.27,27.4,117.71,60.81,32.87
0.1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.91,16.27,7.43,10.41,3.29,2.49,102.7,62.08,17.36,116.81,61.14,27.08,117.99,60.1,31.98
0.2138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.14,15.82,6.77,10.37,3.2,2.49,102.73,62.13,17.39,115.89,62.11,27.51,116.53,61.58,31.43
0.2598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16,16.09,6.88,10.54,3.19,2.49,102.29,62.19,17.29,115.98,61.72,27.02,117.09,60.75,31.69
0.2791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04,16.75,8.17,10.15,3.12,2.34,103.78,60.11,16.75,117.23,60.3,25.5,118.55,58.98,30.04
0.3249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.69,16.98,7.32,10.3,3.11,2.41,103.39,60.74,17.02,117.01,60.47,26.47,118.28,59.13,31.52
0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,16.34,7.8,10.41,3.14,2.46,103.95,60.42,17.37,116.6,60.97,26.28,118.12,59.3,30.32
0.3922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,16.75,7.89,10.17,2.94,2.42,103.87,59.99,17.07,116.62,60.41,25.02,118.16,58.75,30.07
0.4128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54,16.54,8.0,10.04,2.85,2.39,104.15,59.98,17.24,116.8,60.51,25.0,117.94,59.23,29.11
0.4589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,16.8,7.79,10.28,3.0,2.47,102.98,60.54,17.06,116.33,60.6,24.83,118.35,58.54,29.88
0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.43,16.48,7.38,9.92,2.87,2.48,104.48,59.45,17.4,117.26,60.0,24.97,118.4,58.65,28.79
0.5231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,16.47,8.4,9.84,2.9,2.5,104.59,58.95,17.17,117.38,59.26,24.1,118.82,57.67,28.4
