time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12,17.29,36.63,46.65,121.82,48.47,100.13,75.71,136.03,114.89,68.85,117.46,108.11,79.86,69.12
0.0649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.27,16.58,37.64,50.1,118.87,50.5,103.85,72.7,136.95,118.95,65.62,119.05,113.44,75.32,71.41
0.0983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.78,17.14,37.5,49.61,118.9,48.17,104.71,71.61,137.78,119.38,64.98,117.88,113.31,75.0,68.99
0.1331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,17.25,36.76,48.05,120.46,45.99,104.57,71.62,133.67,120.04,64.13,115.2,111.8,76.24,66.72
0.1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.11,17.06,36.71,49.8,119.12,50.62,104.28,72.22,138.78,120.16,64.48,121.97,115.04,74.0,73.28
0.1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.36,17.43,37.85,51.0,117.48,49.82,104.97,71.21,135.88,119.3,64.96,118.29,112.57,75.42,71.66
0.2354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.28,16.68,38.27,52.52,116.57,51.47,106.47,70.0,136.62,119.69,64.73,118.8,112.32,76.01,71.01
0.2692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.14,16.72,37.5,51.29,117.57,50.95,106.57,69.62,135.49,118.68,65.17,117.02,109.73,78.08,66.58
0.3049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.43,16.51,35.0,51.2,117.33,50.1,105.48,70.89,138.05,120.33,63.95,120.25,114.68,73.52,71.31
0.3383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.39,16.87,36.05,50.19,118.45,49.88,105.48,71.01,135.76,120.39,64.18,117.7,114.98,73.76,70.97
0.3723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.61,17.35,35.71,51.57,116.67,53.52,105.97,69.97,137.83,120.34,63.69,122.02,113.71,74.63,73.0
0.4067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,17.41,36.53,48.15,119.97,44.53,106.78,69.46,136.27,121.61,62.61,121.45,115.92,73.01,72.84
0.4422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.77,17.67,35.96,50.37,118.33,50.91,106.82,69.35,137.21,120.42,63.95,120.54,112.56,76.0,71.67
0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.95,16.54,37.63,50.13,118.43,47.97,107.74,68.9,134.87,120.83,63.76,116.55,112.92,75.41,69.79
0.5111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88,17.58,37.25,51.29,117.16,49.61,108.17,67.9,135.85,121.45,62.51,119.15,112.58,75.53,71.6
0.5446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.39,17.02,37.47,50.48,117.52,48.25,109.49,66.66,138.12,122.92,61.32,121.83,116.4,72.05,72.64
