time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0309,41.61,43.21,84.56,28.42,145.48,14.18,28.06,151.03,77.35,38.21,145.35,68.28,19.87,159.86,26.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0633,41.89,42.44,86.0,27.88,145.61,13.22,29.11,149.61,63.51,39.06,144.29,63.34,21.01,158.71,27.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0959,40.72,42.62,85.79,28.46,144.95,16.04,29.26,149.63,78.69,40.52,143.14,68.94,22.52,157.22,29.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1277,41.02,42.14,86.15,26.95,146.73,14.09,27.51,151.3,66.4,36.97,146.81,59.26,19.64,160.18,26.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1621,40.5,43.03,85.81,27.21,145.93,14.78,28.01,150.46,67.95,36.96,146.5,60.33,19.64,159.49,24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1952,40.85,42.73,87.19,27.11,145.98,14.93,27.89,150.54,70.18,36.46,147.23,59.15,19.29,160.16,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2286,42.04,43.38,85.77,26.78,146.73,13.61,27.78,151.01,63.64,36.81,146.61,61.04,19.75,159.79,26.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2615,41.65,43.13,86.85,27.74,146.33,13.18,28.32,150.75,74.03,37.33,146.44,64.87,19.28,160.19,25.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2933,42.42,42.71,86.53,26.64,146.8,12.41,27.47,151.13,56.38,36.57,146.4,60.42,19.37,160.57,28.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3266,41.93,43.16,87.49,27.14,146.8,13.93,27.75,151.2,67.7,36.64,146.76,62.96,19.31,160.2,26.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
