time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.022,20.73,10.23,4.24,9.23,6.77,1.95,4.6,11.98,1.88,5.09,11.71,2.11,4.04,7.37,4.17
0.0594,20.92,10.69,4.87,9.09,7.0,1.69,4.53,12.04,1.44,5.09,11.67,1.75,4.01,6.67,4.11
0.0921,21.16,10.43,4.82,9.09,7.03,1.64,4.5,12.02,1.49,4.68,11.79,1.98,3.49,6.91,4.36
0.1251,20.07,10.56,4.82,9.13,6.64,1.29,4.68,11.69,1.37,5.12,11.39,1.88,4.57,6.91,4.18
0.1565,20.46,10.43,4.33,9.17,7.15,1.46,4.65,12.22,1.51,4.31,11.95,2.19,3.99,6.85,4.35
0.1893,20.58,10.25,5.3,9.05,6.68,1.6,4.49,11.56,1.87,4.48,10.83,2.41,4.1,6.94,4.29
0.227,20.96,10.17,6.22,10.0,7.22,1.15,5.19,11.96,1.53,4.71,11.26,2.45,3.81,7.08,4.76
0.253,20.78,10.02,6.05,10.54,7.01,0.53,6.25,11.73,1.74,5.21,11.36,2.96,3.3,8.21,5.3
0.2885,20.1,9.89,4.54,10.24,6.19,0.73,6.28,10.85,2.06,5.31,10.93,3.5,4.24,8.24,5.36
0.3162,19.39,9.38,5.19,11.85,6.56,1.56,6.95,10.26,2.52,4.79,10.25,3.82,3.34,8.35,5.48
0.3493,19.05,9.54,5.12,11.73,6.21,1.72,6.8,9.15,2.38,4.15,9.56,3.91,2.67,7.78,5.78
0.3884,18.5,9.22,5.07,11.46,5.94,2.11,6.55,8.14,2.59,2.89,8.99,4.29,1.1,7.74,6.24
0.4144,18.09,8.4,5.96,11.01,6.77,2.47,6.35,8.2,2.75,2.48,9.35,4.64,1.97,8.16,6.6
0.4461,17.67,8.37,6.31,11.9,7.61,3.2,6.91,8.24,3.52,1.94,9.19,5.2,3.55,9.44,6.17
0.495,18.67,7.64,6.26,12.67,6.89,3.33,7.93,8.64,4.24,2.96,10.49,6.44,3.5,10.24,6.62
0.5297,21.66,4.83,6.29,10.37,7.27,2.57,6.78,7.53,3.1,2.24,7.86,4.5,8.24,8.59,4.15
0.5481,19.81,6.3,7.32,14.55,4.89,2.2,9.35,8.11,3.56,4.01,10.62,6.01,2.6,10.66,5.34
0.602,19.59,3.36,5.61,10.66,5.29,2.97,8.52,7.14,4.44,2.17,7.76,4.99,12.9,6.63,4.26
0.6147,22.55,6.31,7.1,16.94,11.88,5.01,14.69,19.41,8.25,8.55,21.47,9.97,6.94,17.52,7.1
0.6619,30.32,2.75,5.96,2.36,11.47,6.81,4.07,11.5,4.48,6.39,12.69,6.09,9.51,7.12,4.81
0.6958,18.91,4.72,4.22,1.37,5.08,5.13,1.48,6.01,2.78,1.5,7.06,4.1,0.9,5.19,2.52
0.7266,16.61,24.79,33.15,17.05,4.83,1.42,16.97,7.86,2.37,15.01,13.08,11.7,12.19,14.39,14.72
0.7455,18.28,13.76,11.36,24.44,6.07,4.77,30.68,16.28,4.56,37.35,23.46,6.67,35.3,20.4,4.25
0.7882,18.96,9.87,4.06,36.72,17.26,18.48,31.99,24.16,16.04,30.15,38.73,24.75,39.42,24.74,7.93
0.8266,23.71,12.89,6.76,42.22,20.22,11.56,34.95,37.76,17.61,23.58,57.54,38.37,31.63,54.02,41.36
0.8481,22.03,10.72,5.47,48.18,43.23,30.04,48.64,67.51,34.36,34.57,74.13,34.59,30.05,76.09,32.42
0.8958,29.05,16.12,23.44,46.45,49.33,43.83,40.77,68.78,42.13,29.9,71.25,42.29,39.21,73.4,46.44
0.9155,23.05,10.72,7.93,52.19,74.07,35.67,50.65,89.68,33.78,43.33,89.71,30.39,40.62,91.78,24.7
0.9589,20.68,11.32,14.03,41.26,11.82,5.49,38.63,17.96,5.92,30.21,25.33,10.13,27.16,22.03,2.5
0.9767,26.67,15.35,17.34,47.21,52.43,54.69,45.79,81.16,51.64,40.64,89.55,46.73,46.34,92.55,49.88
