time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0341,21.54,7.17,13.51,9.7,4.67,3.25,13.6,2.77,4.17,84.84,72.34,5.29,110.27,38.98,9.08
0.0712,21.92,7.23,13.84,9.49,4.63,3.08,12.93,2.58,4.2,82.58,75.14,4.94,110.53,39.17,8.33
0.1073,21.79,7.25,14.31,9.55,4.64,3.02,13.21,2.65,4.01,83.52,73.44,4.97,110.33,38.84,8.05
0.1448,22.23,7.26,14.21,9.62,4.91,3.16,13.37,2.82,4.04,84.5,72.72,4.89,111.14,38.3,8.1
0.1809,22.58,7.32,14.46,9.59,4.63,3.4,13.5,2.88,4.24,85.16,71.48,5.06,110.33,38.6,7.59
0.2183,21.81,7.26,13.86,9.34,4.57,3.08,13.29,2.9,3.99,85.08,71.28,5.04,109.98,38.21,8.05
0.2555,22.48,7.29,13.88,9.72,4.82,3.28,13.67,2.47,4.28,89.01,68.12,5.01,112.84,36.86,8.11
0.2907,22.14,7.24,14.31,9.74,5.01,3.1,13.36,2.16,4.25,89.71,67.64,4.9,112.66,37.33,7.5
0.3261,22.56,7.12,14.11,9.56,5.05,3.12,12.87,2.32,4.17,87.02,70.32,4.72,114.23,35.69,7.64
0.3739,22.72,7.13,14.41,9.52,5.13,3.28,12.97,2.37,4.31,88.78,68.11,4.69,115.58,33.96,7.76
0.4117,23.13,7.07,14.19,9.4,5.36,3.2,12.96,2.2,4.3,90.7,66.37,4.8,115.88,33.89,7.92
0.4476,23.38,7.17,14.46,9.34,5.28,3.12,12.83,2.31,4.3,90.2,66.58,4.93,116.12,33.28,7.76
0.4835,22.63,7.21,14.41,9.49,4.75,3.29,12.82,2.22,4.2,87.27,69.06,4.68,114.64,34.21,7.57
0.5193,23.31,7.17,14.1,9.22,5.11,2.79,12.38,1.95,4.0,88.83,67.71,4.57,116.58,32.46,7.44
0.555,23.32,7.22,14.4,9.36,4.62,3.42,12.75,2.18,4.21,86.47,69.58,4.75,113.97,34.52,7.58
0.5924,23.03,7.37,14.28,9.48,4.88,2.83,12.97,2.38,4.0,91.19,65.26,4.75,116.84,32.04,7.88
0.6287,23.32,7.37,14.47,9.37,4.69,3.37,13.05,2.33,4.09,87.8,68.13,4.85,114.51,33.82,7.93
0.666,23.14,7.29,14.22,9.34,4.89,3.3,12.94,2.1,4.12,87.46,68.63,4.8,114.31,34.35,7.79
0.7015,22.92,7.36,14.38,9.19,4.92,3.19,12.48,1.9,3.91,86.71,69.48,4.62,115.42,33.31,7.69
0.7373,22.45,7.32,14.07,9.22,4.93,3.19,12.91,2.29,4.12,89.35,66.92,4.84,115.62,32.94,8.04
0.774,22.12,7.33,13.71,9.36,4.67,3.34,13.02,2.34,4.21,89.04,66.78,4.82,115.36,32.79,8.07
0.8086,22.84,7.34,13.67,9.56,4.91,2.64,12.96,2.38,4.03,90.56,65.88,4.75,117.36,31.4,7.92
0.8479,22.6,7.24,14.7,9.13,4.97,2.99,12.61,2.13,4.23,89.34,66.71,4.9,115.88,32.53,7.81
0.8852,22.66,7.21,13.55,9.27,5.13,2.88,12.6,1.88,4.03,91.42,65.14,4.57,117.93,31.28,7.51
0.9222,23.06,7.09,15.15,9.04,5.22,2.95,12.18,1.91,4.16,89.3,67.28,4.65,118.18,31.09,7.5
0.9578,22.86,7.15,14.26,9.38,5.21,2.6,12.52,2.0,4.08,94.18,62.47,4.55,121.04,28.43,7.4
0.9944,23.08,7.08,14.66,9.13,5.41,3.0,12.19,1.65,4.24,91.03,65.97,4.64,119.73,30.14,7.54
