time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0209,33.62,24.64,25.77,10.03,5.08,4.56,12.03,7.0,3.42,28.63,140.8,11.97,39.2,130.86,16.67
0.0535,34.34,24.63,24.74,10.25,5.07,4.18,12.22,7.18,3.14,28.14,141.38,12.11,36.59,133.34,16.11
0.0855,35.23,25.14,24.23,10.49,4.55,4.12,11.96,6.43,3.02,27.49,142.46,11.86,37.67,133.1,15.65
0.1198,34.56,25.09,26.84,10.21,4.29,4.26,12.48,7.72,3.1,28.32,141.47,11.36,35.62,134.22,15.16
0.1536,34.03,25.26,24.22,10.23,4.51,4.1,12.21,6.96,3.21,27.12,142.55,11.74,35.51,134.48,15.51
0.1807,33.68,24.61,24.12,10.14,4.71,4.09,12.3,7.3,3.21,28.24,141.08,11.92,35.58,133.95,15.78
0.2192,33.86,25.51,23.16,9.96,5.2,4.32,11.72,6.64,3.31,27.23,142.55,12.17,37.96,132.74,16.33
0.2552,34.33,24.21,24.16,10.63,4.79,4.41,12.16,7.07,3.72,28.07,141.54,13.19,38.5,131.79,17.01
0.2888,35.91,25.04,24.97,9.94,4.28,4.38,11.15,6.38,3.78,27.17,142.91,13.11,40.26,130.85,17.16
0.319,34.87,23.9,23.35,10.76,3.6,4.37,12.59,7.01,3.54,26.36,143.51,12.81,35.59,134.07,16.42
0.3553,34.78,23.71,24.19,9.77,4.17,4.68,11.99,7.24,3.38,26.58,143.31,12.07,36.74,133.37,16.17
0.3836,34.58,23.7,24.93,10.39,3.84,4.31,12.49,7.06,3.04,25.78,143.77,11.91,33.74,135.38,15.28
0.4189,35.37,24.6,25.1,10.0,4.24,4.32,11.73,6.84,2.97,25.45,144.31,11.61,36.3,134.35,15.37
0.4545,35.27,24.07,23.53,10.28,4.53,4.57,12.03,7.33,3.26,25.93,143.82,12.51,38.51,131.77,16.13
0.4884,37.18,25.46,24.27,10.41,4.09,4.47,11.83,6.92,3.6,25.42,145.15,12.64,40.01,131.51,16.67
0.5192,35.07,25.29,22.0,11.01,4.06,4.26,12.37,6.53,3.59,27.08,143.58,12.65,36.05,135.15,16.22
0.5501,35.3,24.89,21.27,11.04,4.32,4.25,12.46,6.12,3.5,26.04,144.6,12.79,34.82,136.44,16.18
0.5873,34.95,24.32,22.52,10.71,4.51,4.4,12.52,6.11,3.51,26.08,144.97,13.03,34.05,137.21,16.62
0.6188,36.58,24.59,21.98,10.23,4.84,4.5,11.73,6.33,3.15,24.81,145.46,12.38,37.68,133.54,15.78
0.6533,36.67,25.29,22.75,10.45,4.59,4.41,11.83,6.2,3.32,25.28,145.2,12.64,37.61,133.98,16.22
0.6906,35.64,25.56,23.52,11.16,4.31,4.26,12.3,6.43,3.34,26.3,144.88,12.7,37.85,134.76,16.29
0.7211,35.38,25.52,24.15,10.94,3.52,4.16,12.43,6.56,3.26,26.38,144.63,12.32,35.61,136.23,16.05
0.7526,35.36,25.38,23.87,11.01,4.2,4.17,12.42,6.38,3.41,26.12,144.6,12.69,36.24,135.0,16.37
0.7888,36.0,24.69,23.64,11.12,4.17,4.16,12.72,6.7,3.15,26.81,143.59,12.44,38.3,133.17,16.13
0.8274,35.24,25.21,23.36,10.6,4.75,4.12,12.1,5.8,3.14,26.58,144.14,12.38,37.04,134.91,15.97
0.8559,35.02,25.16,24.09,11.16,3.53,4.15,12.33,6.19,3.29,26.54,143.91,12.92,37.06,134.56,16.68
0.8787,36.38,24.46,22.87,11.18,4.6,4.04,12.83,6.08,3.21,25.91,144.64,12.96,36.5,134.5,16.55
0.9193,35.47,25.22,23.6,10.84,5.06,4.61,12.37,6.45,3.54,26.22,144.43,13.06,36.88,135.02,16.69
0.9505,34.94,25.3,22.48,11.34,4.32,4.26,12.64,6.48,3.51,26.9,143.52,12.88,35.92,135.2,16.6
0.9747,35.48,24.92,22.84,10.97,3.87,4.33,12.22,6.05,3.52,25.83,144.73,12.84,34.54,136.86,16.44
