time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0317,37.13,9.69,7.72,15.89,23.58,13.19,25.43,100.21,28.94,83.81,97.45,19.83,96.97,88.55,26.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0651,38.72,10.16,6.24,16.07,21.95,11.69,24.12,99.17,30.66,82.28,98.76,19.93,95.68,89.74,26.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0986,38.0,9.86,5.67,15.9,23.84,13.17,24.81,99.99,28.84,84.49,96.88,20.48,98.86,86.72,28.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1298,36.38,9.92,6.91,15.78,23.43,13.09,25.52,99.55,28.0,84.02,97.32,20.33,96.2,89.58,28.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1636,37.94,9.97,7.85,16.1,22.71,12.38,24.88,102.14,29.29,85.21,95.65,20.8,96.79,88.53,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.197,37.96,10.48,6.76,15.88,22.98,12.99,23.45,103.08,29.08,82.98,97.98,20.69,97.82,87.28,28.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2298,37.83,10.22,6.76,15.93,24.27,13.05,24.15,103.96,28.12,83.69,97.56,21.15,98.48,87.1,29.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2638,38.72,10.72,5.49,16.37,24.1,14.1,23.38,104.41,28.99,81.6,99.34,20.95,96.59,88.75,28.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2968,38.99,11.11,5.91,16.47,24.24,13.79,23.04,103.77,29.49,80.99,99.39,20.89,96.89,87.85,28.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3298,38.56,11.03,6.8,16.51,24.19,13.66,23.42,106.18,28.56,81.65,98.97,21.67,96.52,88.57,29.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3636,38.23,11.03,7.33,16.13,24.66,14.0,23.36,106.52,27.99,81.27,99.25,21.16,96.03,89.07,28.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3967,37.69,10.86,7.14,16.45,24.5,14.9,23.1,103.95,29.93,81.18,99.54,21.06,96.05,89.38,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4301,38.32,11.28,6.62,16.94,25.16,15.49,22.76,103.07,30.79,80.06,100.78,20.68,95.03,90.57,28.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4632,37.98,10.81,7.46,16.57,24.72,14.83,23.02,104.5,29.2,80.1,100.45,21.06,95.31,90.03,29.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4959,37.95,10.73,7.39,16.59,24.65,14.71,22.77,102.21,30.12,80.42,100.22,20.34,95.47,89.69,27.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5286,37.9,10.78,7.1,16.62,26.68,15.1,23.3,102.37,28.7,82.11,99.11,20.85,96.43,88.92,28.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5623,38.84,10.74,5.37,16.15,25.09,14.69,23.76,101.93,29.46,83.5,97.77,20.62,97.02,88.25,28.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5956,38.51,10.46,4.93,16.2,25.7,14.81,23.98,102.25,29.07,84.23,97.35,20.89,98.1,87.4,28.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6294,37.98,10.3,5.33,15.89,25.13,14.7,24.67,101.28,28.81,85.58,96.24,20.59,99.21,86.7,28.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.661,38.0,10.38,5.2,15.9,25.03,16.17,24.62,101.14,28.97,85.02,97.0,20.48,98.23,88.03,28.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6939,38.25,10.37,4.45,15.8,23.65,14.32,24.48,100.18,29.2,83.91,97.82,20.05,96.8,89.13,27.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7262,37.51,10.52,4.36,15.94,23.79,14.06,24.98,98.96,29.23,83.93,97.84,19.7,96.83,89.07,27.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7591,37.63,10.14,5.69,15.91,24.44,13.96,25.49,101.02,28.39,83.57,97.76,20.43,94.65,90.86,27.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7918,39.19,10.49,4.8,16.38,24.36,14.77,23.94,100.93,30.44,83.25,97.88,20.39,96.02,89.43,27.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8251,37.3,10.03,7.29,15.97,25.54,14.86,24.29,99.4,28.85,83.12,98.68,19.66,97.76,87.79,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8595,36.93,10.0,4.74,15.54,22.99,12.25,25.12,98.13,28.2,82.22,99.12,19.14,94.82,90.4,26.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8933,37.59,10.45,6.57,15.54,23.08,12.45,25.64,102.97,27.88,84.58,96.65,20.67,94.78,90.76,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9261,39.74,10.4,3.43,16.23,24.59,15.04,23.53,101.63,30.29,82.38,98.63,20.56,95.32,90.17,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.959,38.77,10.77,4.72,16.06,24.5,13.42,23.95,101.28,29.57,84.51,96.73,20.63,98.65,87.12,28.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
